span_id,annotation_set_id,source_qa_id,answer_text,answer_start,answer_end,category_id,contract_id,target_category,negative_source_category
contract_0295__exclusivity__span_001,contract_0295__exclusivity,BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT__Exclusivity_1,release released during the Term.,8165,8198,exclusivity,contract_0295,Governing Law,Exclusivity
contract_0407__license_grant__span_006,contract_0407__license_grant,KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__License Grant_6,"Depomed hereby grants to King a non-assignable, non- sublicensable, non-exclusive, royalty-free right and license to use the Depomed Trademarks in the Territory solely in connection with King's Promotion of the Product in accordance with this Agreement; provided King may assign and sublicense such right and license in accordance with Section 2.2.",63634,63982,license_grant,contract_0407,Governing Law,License Grant
contract_0210__license_grant__span_011,contract_0210__license_grant,"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT__License Grant_11","Subject to the terms and conditions of this Agreement, including without limitation Array's retained rights under Section 2.1(e) below, Array hereby grants to Ono an exclusive license, with the right to grant sublicenses as provided in Section 2.2, under the Array Patents, Array Know-How and Array's interests in the Joint Patents and Joint Know- How to Develop the Products in accordance with the Development Plan and Joint Development Plan(s) in the Ono Territory solely for purposes of obtaining Marketing Approval for use of the Product in the Field in the Ono Territory.",42466,43042,license_grant,contract_0210,Governing Law,License Grant
contract_0296__exclusivity__span_000,contract_0296__exclusivity,CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement__Exclusivity_0,"5. Breach of exclusivity clause

Breach the exclusivity agreement with Baidu to engage in competing business.",30040,30149,exclusivity,contract_0296,Governing Law,Exclusivity
contract_0301__renewal_term__span_000,contract_0301__renewal_term,"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT__Renewal Term_0","Unless otherwise terminated as provided herein, the initial term of this Agreement shall be three (3) years from the Effective Date and shall thereafter be automatically renewed for subsequent one (1) year periods unless either party notifies the other in writing of its election not to renew the Agreement at least one hundred twenty (120) days prior to the expiration of the then-current term.",3994,4389,renewal_term,contract_0301,Governing Law,Renewal Term
contract_0306__termination_for_convenience__span_000,contract_0306__termination_for_convenience,MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT__Termination For Convenience_0,Either party may terminate this Agreement at any time with 30 days written notice.,5872,5954,termination_for_convenience,contract_0306,Renewal Term,Termination For Convenience
contract_0266__termination_for_convenience__span_001,contract_0266__termination_for_convenience,"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT__Termination For Convenience_1",ISO may terminate this Agreement prior to its expiration for cause upon prior written notice to SERVICERS as follows:,65829,65946,termination_for_convenience,contract_0266,Renewal Term,Termination For Convenience
contract_0293__termination_for_convenience__span_000,contract_0293__termination_for_convenience,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement__Termination For Convenience_0,"EHS or EHN, on the one hand, and Dr. Murray, on the other, may terminate any Services Term of this Agreement by delivering 60 days written notice to the other party.",7296,7461,termination_for_convenience,contract_0293,Renewal Term,Termination For Convenience
contract_0187__cap_on_liability__span_015,contract_0187__cap_on_liability,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT__Cap On Liability_15,"ACTION FIRST ARISING, EVEN IF IT IS A CONTINUOUS ONE, OR IN THE          AGGREGATE, WITH RESPECT OF ALL CLAIMS ARISING OUT OF OR RELATED TO          THIS AGREEMENT, THE TOTAL AMOUNT ACTUALLY PAID BY CORIO UNDER THIS          AGREEMENT TO CHANGEPOINT.",55450,55700,cap_on_liability,contract_0187,Renewal Term,Cap On Liability
contract_0324__exclusivity__span_001,contract_0324__exclusivity,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2__Exclusivity_1,"Licensee shall have the non-exclusive right and license to develop and distribute ICE AGE 2 Wireless Products during the Term of the Agreement for all Wireless Products set forth in this Paragraph 2(c) except the Game, for which Licensee shall have the exclusive right and license to develop and distribute until December 31, 2006.",4341,4672,exclusivity,contract_0324,Renewal Term,Exclusivity
